Q14942930	Wikimedia subject-area collaboration
Q3349060	multidisciplinary field of study and research of ocean life and physics
Q104433915	Ottawa painter
Q17027776	British newspaper editor
Q475689	federal legislature of Canada
Q8057	economy of the country
Q1126556	sounds birds use to communicate
Q6483877	Wikimedia category page
Q47407603	process during which a work of art comes into being
Q648102	metropolitan region in Germany
Q19159	superclass of the first four-limbed vertebrates and their descendants
Q7944	result of a sudden release of energy in the Earth's crust that creates seismic waves
Q185390	autoantibody that binds to contents of the cell nucleus
Q193762	pictographic sign
Q16685058	number of people who can be seated in a specific space
Q362547	opposite of fear
Q67207452	officer who usually works for local, state, and federal government agencies and oversees hearings, deciding many issues, such as whether a person is eligible for workers’ compensation benefits or whether employment discrimination occurred
Q9026554	Wikimedia category
Q83978562	status of an individual's body
Q15263992	Wikimedia category
Q691310	unit for  particle size distribution of a granular material
Q16001535	manner of pronunciation peculiar to a particular individual, location, or nation
Q27540169	bear who became an internet celebrity
Q648	city in the northern part of France, in French Flanders
Q18037771	protein-coding gene in the species Homo sapiens
Q15936001	Chinese politician
Q3569775	feminist gender term
Q21467672	type of running sport run on a track
Q79322171	painting by Bronson Edwards
Q45867	quadrilateral with two pairs of parallel sides
Q21286334	1983 film by Bernt Callenbo
Q8199051	Wikimedia category
Q5084	small settlement in a rural area
Q6281728	Wikimedia category
Q736604	1974 non-fiction book
Q3819233	process of scuffing, scratching, wearing down, marring, or rubbing away
Q104255513	activity related to soil management and crop production
Q188473	film genre
Q8905944	Wikimedia category
Q622309	mountain range
Q848466	person that performs long-distance or international rapid transports and delivery on behalf of third parties delivering messages, packages, and mail.
Q706622	mental state representing commitment to perform an action
Q7994710	art magazine and project based in Taichung City, Taiwan
Q4126704	species of ape
Q1140056	Research body for universities
Q1103954	pattern of human activity and symbolism associated with Canada and its people
Q107383376	Python library
Q7214311	Wikimedia category
Q5113	class of tetrapods
Q7016345	Wikimedia category
Q13402945	Wikimedia portal
Q43550151	administrative reform of 1898
Q25931702	rest in a state of decreased consciousness and reduced metabolism
Q244158	game in which one or more participants jump over a swung rope
Q20747295	type of a gene
Q15831576	one of the fundamental states of matter
Q13107223	Wikimedia template
Q1391831	continuous strand formed of filament fiber or spun, twisted, and plied short fibers, used for sewing and needlework
Q47652	Roman goddess of love, sexuality, procreation and pleasure
Q6987175	Wikimedia category
Q7791	occurrences and people in Italy throughout history
Q208909	German–British record label
Q6511100	Wikimedia category
Q1751513	construct, rule, or method designed for interaction with a game's state
Q187607	class of astringent, bitter plant polyphenolic chemical compounds
Q100781357	of a great size
Q18206823	American businesswoman and philanthropist
Q7117058	Wikimedia category
Q2583195	media evolution
Q191552	ore rich in iron or the element Fe
Q11062181	economy of the region
Q403	country in southeastern Europe
Q14852003	Flow of blood through a living being. This the actual flow, not the system through which the blood flows. For the system see Q11068.
Q30129212	military unit type equipped with artillery weapons
Q1368044	Confucian treatise on filial piety; probably from 4th century BCE; attributed to a conversation between Confucius and  Zengzi
Q76115	species of fish
Q49115	private university in Ithaca, New York
Q2028499	village in St. Joseph County, Michigan, United States
Q6580245	Wikimedia category
Q9182464	Wikimedia disambiguation page
Q691167	profession
Q47657	classification of blood
Q208826	distance between the lowest end and highest end of an object
Q191924	stimulant drug
Q191	sovereign state in northeastern Europe
Q23847174	abstract object associated with religion
Q161652	ethnic group native to Japan
Q14399581	Wikimedia template
Q1153785	taxonomic rank
Q21004260	process that has the aim of augmenting knowledge, resolving doubt, or solving a problem
Q6867680	Wikimedia category
Q83267	unlawful act forbidden and punishable by criminal law
Q1139344	tangent of the angle of a surface to the horizontal
Q2809148	(a cause of) a feeling of great sadness
Q18189	classification system for progress during formalized education
Q648392	river in Australia
Q7448410	Wikimedia category
Q1207152	conceptual beauty that shows unusual effectiveness and simplicity
Q183332	Christian saint and martyr
Q255722	a substance in the gas phase at a temperature lower than its critical point
Q3328821	literary form characterized by the description of a sequence of events in a certain order
Q6952746	American distributor group owned by NBCUniversal through Comcast
Q21709087	Wikimedia category
Q211521	light liquid precipitation
Q65548708	Wikimedia category
Q48942	person studying in a school
Q1055207	wine grape variety
Q30	country located mainly in North America
Q1228250	general concept of a line (curved or straight)
Q212699	American record label
Q105731	fall structure with a fixed chamber in which the water level changes
Q178122	musical piece for a single voice as part of a larger work
Q4430245	social unit with a commonality
Q5150733	warship
Q11081619	solid surface of Earth that is not permanently covered by water
Q649681	commune in Haute-Vienne, France
Q812952	term
Q3320659	language
Q6483961	Wikimedia category
Q21208	province of China
Q214867	national art museum in Washington, D.C.
Q5550894	Wikimedia category
Q1729	capital city of German federated state of Thuringia
Q5440547	federation of states with a republican form of government
Q836934	fitted dress in Chinese culture
Q2744516	aspect of history
Q1228380	durable, pale yellowish cotton cloth
Q11386386	poet who writes haikus
Q22731	rock or artificial rock-like material
Q10880143	Wikimedia portal
Q7163191	Wikimedia category
Q11440243	Elected representatives of the 24 wards of Osaka City.
Q861951	headquarters for the police of a particular district, from which police officers are dispatched and to which persons under arrest are brought
Q7094076	database accessible from a network, including from the Internet
Q21045124	pericarp dry at maturity
Q113043256	field of research
Q80434	prefecture of Japan
Q192234	optical lens or assembly of lenses used with a camera body and mechanism to make images of objects
Q804988	family name (陳 / 陈)
Q6994635	Wikimedia category
Q11567	number that can be put in the form a + bi, where a and b are real numbers and i is called the imaginary unit
Q9798428	Wikimedia category
Q1144286	low-lying area surrounding the Pearl River estuary
Q25839995	currency
Q81171102	scientific article published on 01 December 1970
Q17630870	mobile app by Foursquare
Q830	most common type of large domesticated ungulate
Q6566755	Wikimedia portal
Q3328263	stone or tile structure which can serve as floor;  pavement type with solid blocks
Q8730201	Wikimedia category
Q8699379	Wikimedia category
Q101860688	television program featuring human characters that are often involved with the occult, witchcraft, spiritualism, psychic phenomena, vodou, etc., and interact with supernatural beings
Q176799	organization formed as part of an armed force
Q275106	Grand Prince of Kiev (1095-1157)
Q1814295	wheeled armored personnel carrier
Q409595	chemical compound
Q828	landmass comprising the continents of North America and South America
Q386191	increase in the number of individuals in a population
Q1026040	reaction to loss of someone or something close or important
Q14333806	designation of a point in time
Q3137297	aspect of history
Q7116037	Wikimedia category
Q104224755	Wikimedia category
Q6996586	Wikimedia category
Q331202	2002 studio album by Christina Aguilera
Q871464	mountain in Osaka Prefecture, Japan
Q424418	any chemical compound consisting of nitrogen and oxygen only
Q60738798	time zone in Newfoundland and Labrador, Canada
Q8592604	Wikimedia category
Q30601866	person who wash and cleans kitchen areas, dishes and utensils
Q361183	Wikimedia disambiguation page
Q17177542	Prime Minister of Antigua and Barbuda
Q98970039	Wikidata pilot project at the University of Washington Libraries
Q5743891	Wikimedia category
Q476850	human-powered wheelless vehicle for the transport of persons
Q2283	American multinational technology corporation
Q47974	province of China
Q11477142	Japanese recording artist; singer-songwriter
Q5926364	mobile phone series by Huawei
Q471270	aspect of history regarding the scientific advance of the literary genre from the 18th century onwards
Q17123893	scientific journal
Q12132	system of organizing days for social, religious, commercial, or administrative purposes
Q57005414	Wikiproject on 1000 important Estonia topics
Q2155636	street in Massachusetts, United States of America
Q1403016	detention of a person and taking it into custody, usually because it has been suspected of committing or planning a crime
Q1456631	Wikimedia category
Q620681	device used for process engineering
Q15760547	journal
Q67123584	revealing of previously secret or restricted information, either intentionally or not
Q114843	county in New York, United States
Q2369287	person who is beatified. Use as value for canonization status (P411)
Q7900097	modern leisure concept of an artificially-created environment in an urban setting which simulates a public beachfront
Q299924	Wikimedia disambiguation page
Q5333677	economy of the region
Q1884224	beverage primarily composed of tea and milk
Q417657	Indian politician
Q42183538	respiratory system manifestations of diseases of the respiratory tract or of other organs
Q43183	equitable transfer of the risk of a loss, from one entity to another in exchange for payment
Q146491	body of law that relates to crime
Q7432151	American record label
Q22667	interconnected network of infrastructure and vehicles used for train rail transport
Q15031	General Secretary of the Chinese Communist Party and paramount leader of China
Q3052772	President of France since 2017
Q7141	scientific discipline that studies cells
Q14890	small oven for cooking bread
Q160402	organization, identification, and interpretation of sensory information in order to represent and understand the environment in the brain
Q178026	class of allotropes of carbon
Q4095812	Wikimedia category
Q321273	British publishing and television group
Q6061304	Wikimedia category
Q2932844	race horse
Q16748888	according to the theory of emotion
Q1198887	director of music, for an orchestra, film, radio station, etc.
Q1959825	ordered arrangement of musical tones
Q15305047	Wikimedia subject-area collaboration
Q16325774	Wikimedia category
Q271944	French actress
Q104578673	Wikimedia category
Q7897272	property that lacks an owner
Q830393	set of activities aimed at prolonging the life of a record or object
Q57315384	Hornbostel-Sachs classification 321.321-71
Q35986	branch of philosophy dealing with the nature of art, beauty, and taste
Q917808	award given for short films
Q64	federal state, capital and largest city of Germany
Q104601028	Wikimedia category
Q715396	branch of physics of matter in the solid state
Q7149649	Wikimedia category
Q15324	any significant accumulation of water, generally on a planet's surface
Q815758	fundamental problem of economics where there are limited resources to fulfill society's unlimited wants
Q9654599	Wikimedia category
Q1	totality consisting of space, time, matter and energy
Q3174312	country labelled 'Free' by Freedom House
Q1229071	in the visual arts, individual design element, alone or combined to produce a pattern
Q1165949	flag of the Canadian province of Ontario
Q15729598	aspect of motor vehicle design
Q38645	large fruit with a smooth hard rind
Q6334478	Wikimedia category
Q3299004	someone who enjoys writing, discussing hatred towards a celebrity or icon
Q165107	enclosed structure in which honey bees live and raise their young
Q7562091	process of developing; growth, directed change
Q4388848	Wikimedia list article
Q7245047	chief executive and the chief academic officer of a university or college in certain parts of the Commonwealth
Q60168	chemical compound; opioid most commonly used as a recreational drug for its euphoric effects
Q37739088	scientific article published on 06 April 2017
Q8135393	Wikimedia category
Q185194	genus of mammals in the family Canidae
Q135288	American digital distribution platform
Q2395725	consciousness shared by individuals within a society
Q676202	computer software that provides a platform for running application software
Q11816927	literary genre of lyrical poetry
Q8813099	Wikimedia category
Q4896467	American journalist, novelist and playwright
Q223197	layered aluminosilicate 1:1 clay mineral
Q3016893	French national open-data platform
Q2422162	mountain between Cameroun and Central African Republic
Q157811	morally positive trait or quality deemed to be morally good
Q18819626	object used to connect other objects together
Q902638	substance formulated alongside the active ingredient of a medication
Q1344	artform combining sung text and musical score in a theatrical setting
Q17194316	Filipino-Australian actor and singer
Q39072	branch of economics that studies the behavior of individual households and firms in making decisions on the allocation of limited resources
Q22006653	filmed in color, the opposite of black-and-white
Q2301434	American record label
Q4072190	observed occurence in the atmosphere
Q5658250	female given name
Q21191270	single installment of a television series
Q17573152	person who believes in something
Q7164788	Wikimedia category
Q17177506	light generation with the help of an artificial light source
Q484615	American actor and writer
Q8977284	Wikimedia category
Q1294626	occupation
Q3478630	1998 album by Sylvie Vartan
Q2330259	study of rivers; branch of geography
Q11742780	phase of a software build process in which compiled modules are combined into a single unit
Q18340964	philosophical concept
Q104552	German politician, father of Alfred and Max Weber (1836-1897)
Q92640	novel by Lewis Carroll
Q455550	outdoor recreational activity
Q167589	county in Michigan, United States
Q21174753	hazardous chemical exposure
Q909085	time zone
Q655407	Ceremonial office and nominal de jure Head of State of China
Q557945	state of being bewildered or unclear in one’s mind about something
Q2072081	person who is not white, mostly used in the United States
Q1147037	the second half of the Han dynasty of imperial China
Q1082380	pattern of human activity and symbolism associated with Turkey and its people
Q83790	comprehensive, explanatory book for systematic study of an academic subject
Q2956046	process, event, or action modifying relatively stable qualities of a subject
Q6947759	Wikimedia portal
Q157821	Wikimedia disambiguation page
Q28732984	category of the JMK film classification system
Q111082	Wikimedia disambiguation page
Q227012	Wikimedia disambiguation page
Q1416279	person who performs financial analysis
Q21075800	quality of being constant; steadiness or faithfulness in action, affections, purpose, and so forth; unchanging quality or characteristic of a object
Q12899500	male given name
Q925	chemical element with symbol Hg and atomic number 80
Q16875712	artistic theme of reproducing animals in art
Q14635041	village in North Central Timor Regency, East Nusa Tenggara, Indonesia
Q751876	type of manor house mostly built by noble families for representative purposes
Q239825	fourth row in the periodic table of chemical elements
Q8470783	Wikimedia category
Q865	country in East Asia
Q2579784	2013 film directed by Alfonso Cuarón
Q7831165	metals normally present in small but measurable amounts in animal and plant cells and tissues and that are a necessary part of nutrition and physiology
Q9645629	Wikimedia category
Q20716276	Wikimedia list article
Q188540	national economy of the United States
Q17106795	Norwegian film director
Q16334298	set of live physical entities of any nature
Q8397927	Wikimedia category
Q55329591	Wikimedia category
Q2741056	box-shaped piece of furniture with doors or drawers for storing miscellaneous items
Q1433834	vertical or deeply inclined part of stairs between two sucessive steps
Q8913288	Wikimedia category
Q354757	wood product of at least 6 mm thickness
Q814207	the state of being unwell
Q6805718	Wikimedia category
Q39087041	overview of and topical guide to fungi
Q622291	thriller that is set against the backdrop of a political power struggle
Q57970	prefecture-level city in Jiangsu, China
Q4198907	Form of government
Q12739	power generated from nuclear reactions
Q1921606	data input device
Q5866575	Wikimedia category
Q323138	overview of the economy of the United Kingdom
Q918257	asteroid
Q86344423	Wikimedia category
Q238702	British science fiction writer (1925-2017)
Q402803	Wikimedia disambiguation page
Q7012670	Wikimedia category
Q17200001	activity that purifies people, animals and objects of dirt and other particles
Q21263223	architectural portal containing a door
Q11473	branch of physics concerned with heat, work, temperature, and thermal or internal energy
Q7325	ethnoreligious group and nation from the Levant
Q37861	Internet country code top-level domain (ccTLD) for the United States
Q24840429	Chinese politician
Q1437299	intermittently dry stream
Q174710	public research university in Los Angeles, California, United States
Q23578769	field within the social sciences
Q2484376	film genre
Q710706	Chinese surname 曹
Q673287	gorges in the Yangtze River, in China
Q9678528	Wikimedia category
Q817121	branch of geography
Q1495811	expert about musical organs
Q3140971	admission of a patient to a hospital
Q169251	emotional pain associated with, or characterized by, feelings of disadvantage, loss, despair, grief, helplessness, disappointment and sorrow
Q7216531	Wikimedia category
Q3330103	form of government
Q8548465	Wikimedia category
Q8179640	Wikimedia category
Q11404	type of musical instrument of the percussion family
Q8085072	Wikimedia category
Q330459	commissioned officer military rank
Q190672	an active fire protection device
Q63255087	muscular appendage of elephants and their relatives; anatomically a fusion of the nose and upper lip
Q55185569	Accessories used to play the Guitar
Q127552	American animation studio
Q287218	Television production studio of Walt Disney Television
Q25233764	Wikimedia category
Q12861	explosive most commonly used as propellant in firearms
Q13422029	Television producer, television writer
Q1701967	the outline of the coast
Q1087203	superpartner of the electron
Q12099081	practice of controlling and managing a wide range of hazards associated with the life cycle of mining-related activities
Q4281973	postal stationery with an imprinted stamp or indicium signifying the prepayment of postage
Q105687045	district heating system in Berlin, Germany
Q2251595	action or precaution against a threat against an uncertainty or possible unpleasant events
Q1424833	dynamic collection of drops dispersed in a gas
Q298021	Wikimedia disambiguation page
Q17376040	type of company used in many jurisdictions
Q6161946	Wikimedia category
Q18383267	city anthem of Osaka; composed by Akira Nakada, lyrics by Horisawa Chikayasu
Q8343738	Wikimedia category
Q4086271	encyclopedia, published in 1891–1892 in Moscow
Q111633339	number of likes, favorites, stars, upvotes, or reactions received on a social media post or profile
Q51295604	researcher
Q4406616	object with a physical referent
Q3591700	saltwater lagoon in France near the Mediterranean Sea
Q20830015	Wikimedia category
Q227739	Wikimedia disambiguation page
Q13339821	Wikimedia category
Q1528507	type of AC power plug and socket
Q15293809	Wikimedia category
Q27554677	town or city earlier being capital
Q180538	the enterprise of raising or harvesting fish or other aquatic organisms or more commonly, the site where such enterprise takes place
Q22857	activity to ascend a steep object
Q7484998	Wikimedia category
Q360769	prefecture-level city in Anhui, China
Q14440227	Wikimedia template
Q37260	representation of language in a textual medium; tool developed by human society
Q152024	germinated cereal grains that have been dried
Q1440281	top for holding liquid inside a bottle
Q17166101	act of typing and sending a brief, digital message
Q16000280	overview of and topical guide to nuclear power
Q7463306	Wikimedia category
Q42314818	abbreviation for visual or fine art
Q571	written text that can be published in printed or electronic form
Q11691	organization that provides services for stock brokers and traders to trade securities
Q1516929	the study of postal systems and how they operate and, or, the study of the use of postage stamps and covers and associated postal artifacts illustrating historical episodes in the development of postal systems
Q26248884	island in the United States of America
Q944085	central bank of India
Q20706561	Japanese manga series
Q6740135	Wikimedia category
Q542	sports involving running, jumping, throwing and walking
Q3908516	process of designing, launching and running a new business
Q646426	1995 film by Larry Clark
Q82363570	extinct group of dinosaurs that excludes birds, i.e. Dinosauria \ Aves
Q4340680	treaty signed in 1992 regulating the inner composition of Russia; the text was included into Russian Constiution and all regions became federal subjects
Q13426199	1912–1949 country in Asia
Q200538	social event
Q5069968	British Thoroughbred racehorse
Q182	Wikimedia disambiguation page
Q13557414	process of capturing data or translating information to a recording format
Q57583712	home appliance used for preparing food
Q104598363	Wikimedia category
Q61480	city and urban gmina of Poland
Q60315954	video game database
Q5741923	Wikimedia category
Q842096	finger ring which indicates that its wearer is married
Q2995644	final consequence or product of a sequence of actions or events
Q61793426	male given name (Σωκράτης)
Q16887036	landform that is a low point or opening between hills or mountains or in a ridge; generic term for col, saddle, mountain pass, etc...
Q180846	large form of the traditional grocery store
Q55089312	version of catalogue of products for sale
Q56061	territorial entity for administration purposes, with or without its own local government
Q6657138	Wikimedia band discography
Q6356996	Wikimedia category
Q834028	equipment used for laboratory experiments
Q8084842	Wikimedia template
Q1195471	hypothetical substance composed only of neutrons
Q8311188	Wikimedia category
Q5613113	Wikimedia category
Q1358798	supreme court
Q72	capital of the canton of Zürich, Switzerland
Q73555012	literary and artistic works by creator protected by copyrights (author's rights)
Q127955	main international airport of Serbia
Q5461161	Wikimedia category
Q33857	language family of China related to Mandarin
Q188619	system of elements with multiple levels or tiers that are subordinated to each other
Q8931243	Wikimedia category
Q1326900	railway where trains traveling in both directions share the same track
Q1469	longest river in France
Q2385	2010 turn-based strategy video game
Q756708	national anthem
Q1431822	aspect of harmonic sounds
Q11357620	Three major cities in the Edo period (Japan), referring to Kyo (current day Kyoto), Osaka, and Edo (current day Tokyo)
Q7165057	Wikimedia category
Q21818619	approximate location – should be used with qualifier P1480 to indicate the source specified a value and explicitly stated that value is close in proximity, but specify no precision information. For example, "born near Dallas"
Q37541667	family name
Q102401409	Ph.D. Chinese Academy of Sciences 1991
Q107489396	Wikimedia category
Q951500	former colony in North America, part of Great Britain
Q2150	day of the year
Q96868272	episode of Star Trek: Lower Decks
Q854429	opening in the walls of a structure
Q3589038	extent from one surface to the opposite, usually in the smallest solid dimension
Q42419453	s a stock corporation, whose shares are owned by Hamburger SV e. V., Kühne Holding AG and various minority shareholders. It runs the professional football department and the youth departments from the U16 onwards at HSV
Q645928	film genre; dramatizes the life of an actual person or people
Q3711325	magnitude of velocity of motion
Q130998	reflexive, symmetric and transitive relation
Q26513	prenatal human between the embryonic state and birth
Q145	country in north-west Europe
Q7777226	chemical compound
Q63429999	Open Data Portal of the City of London, United Kingdom
Q11182407	Wikimedia template
Q20984829	energy that can be spent by a human
Q7215497	Wikimedia category
Q2558828	section of the city of Beijing in the Ming and Qing dynasties, with the Forbidden City at its center
Q104600361	Wikimedia category
Q11117007	Wikimedia template
Q12786121	conduct of conflict
Q47005650	set of number that can be expressed as the quotient of two integers
Q1194058	product designed for a single use
Q173113	science and technology of producing and using plants for food, fuel, fiber, and reclamation
Q21850546	Portuguese inventor and joiner (1843-1922)
Q24824197	Wikimedia disambiguation page
Q20338900	Wikimedia template
Q37927494	species of mammal
Q1418040	mixture of prepolymers, synthetic materials with properties similar to natural plant resins
Q8487304	Wikimedia subject-area collaboration
Q128309	collection of drums and other percussion instruments
Q15614832	Wikimedia category
Q7014671	Wikimedia category
Q19841484	violent wartime looting of a foreign city
Q8001410	Wikimedia subject-area collaboration
Q639669	person who composes, conducts or performs music
Q709099	standard UNIX utility
Q2152210	German Music Dictionary
Q15961987	type of genre
Q42998	large instrumental ensemble, a type of band
Q437512	person who weaves fabrics
Q17278	simple curve of Euclidean geometry
Q56055944	form of arts distinguished by its medium of expression (e.g. literature, music, visual arts)
Q7299618	principle or rule of thumb that allows one to eliminate unlikely explanations for a phenomenon
Q653318	pneumoconiosis that is an inflammation and scarring of the upper lobes of the lungs causing nodular lesions resulting from inhalation of silica, quartz or slate particles
Q7112632	overview of and topical guide to film
Q860626	film, television, play genre
Q21263917	student who studies medicine
Q2578402	tool equipment powered manually
Q97	second largest ocean on Earth
Q63099748	building designed and built for use as a hotel
Q14083	name of many currencies
Q5386557	American politician
Q513712	Japanese publishing company
Q61665121	cereal grain
Q313067	British scientist (1749-1819)
Q35140	public presentation of a performing arts work, a play, concert, or other form of entertainment
Q7014557	Wikimedia category
Q94018	American sociologist
Q1225991	national anthem
Q160117	person who arranges transactions between a buyer and a seller, and gets a commission when the deal is executed
Q1076794	Wikimedia disambiguation page
Q1066536	paper made from rice
Q179723	offering to gods
Q1852039	physical process in which a tangential force is transmitted across an interface between two bodies through dry friction or an intervening fluid film resulting in motion, stoppage or the transmission of power
Q798134	thesis reporting a research project undertaken as part of an undergraduate course of education leading to a bachelor's degree
Q112972683	game with mechanics that include bidding
Q32522	Greek American actress
Q282	alcoholic drink typically made from grapes through the fermentation process
Q8104	layer of gases surrounding a material body
Q68	general-purpose device for performing arithmetic or logical operations
Q1223829	rodent with a coat of sharp spines
Q315152	Japanese poet, author, and literary critic in Meiji period Japan (1867-1902)
Q237284	the supermassive black hole at the center of the Milky Way Galaxy
Q7214089	Wikimedia category
Q627	chemical element, symbol N and atomic number 7
Q106559804	class of agents
Q2482134	Swedish band
Q10797217	Wikimedia template
Q6579356	Wikimedia category
Q21832642	Interacting selectively and non-covalently with starch.
Q61167	county in Arkansas, United States
Q768186	object used for sport or exercise
Q7189783	Wikimedia category
Q5954149	female given name
Q5960345	greenish blue color, based on the gem of the same name
Q10964946	Wikimedia template
Q64025480	people who have been friend since early childhood
Q185939	family of apes
Q842320	time zone in western Russia (UTC+3)
Q313549	commonly used English honorific used for women, usually for those who are married
Q40373	Internet country-code top level domain for Tuvalu
Q106090	genus of plants
Q178780	alcoholic beverage, sweetened and flavored distilled spirit
Q1365097	class of stringed instruments
Q47521	body of water with current within bed and stream banks
Q13379817	Wikimedia template
Q165449	banana-like vegetable, less sweet
Q7981358	Wikimedia category
Q7484881	Wikimedia category
Q2941721	type of round or canon at the unison
Q27905	categories into which the cards of a deck are divided
Q13442814	article in an academic publication, usually peer reviewed
Q8502	large landform that stretches above the surrounding land
Q76430006	language used in the field of physics
Q32451617	river in France
Q22273555	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a salt stimulus.
Q6482558	Wikimedia category
Q985	Land (federal state) in southwestern Germany
Q16038819	aspect of music
Q12430157	Wikimedia template
Q4213	instrument that aids in the observation of remote objects
Q19369129	Wikimedia portal
Q218295	head of state of the RSFSR (office established in 1991) and Russia
Q1124220	demographics of country
Q2745130	1920 book by André Breton and Philippe Soupault
Q1389854	1710 military conflict in Estonia during Great Northern War
Q11812678	lower side of something
Q69523157	foods and beverages to meet specific needs
Q57931	city in Jiangsu Province, China
Q65961969	extinction of a noble title or rank
Q8857539	Wikimedia category
Q3629144	measure of the energy loss of sound propagation in media; phenomenon when hearing protectors help reduce acoustic flux from flowing into the ears, is measured in decibels (dBs)
Q7041	identifier for a time offset from UTC of +9
Q9008751	Wikimedia category
Q1373572	single-user circuit on a telephone communication system
Q7453437	Wikimedia category
Q7020080	Wikimedia category
Q870870	simple mechanism with an area that can be temporarily pushed down to control a device
Q1249178	heraldic animal
Q28130570	overview of and topical guide to civil law (common law)
Q1920219	problem that influences a considerable number of individuals within a society
Q18665339	film content classification given by the Motion Pictures Association of America
Q421307	Wikimedia disambiguation page
Q189524	formation of warships
Q11124885	person who practises a martial art
Q6164407	Wikimedia category
Q189737	large percussion musical instrument which produces a definite pitch
Q18564125	academic discipline
Q25894	term referring to many even-toed ungulate species
Q224210	Wikimedia disambiguation page
Q4337486	Russian actor and camera operator
Q35911	branch of botany that studies and cultivates fruit
Q165432	unofficial French coat of arms
Q179461	type of creative work
Q1116876	scientific activity
Q63430342	First Solvay Conference, held in Belgium in 1911
Q24817459	Wikimedia template
Q1322005	observable event which is not man-made
Q454	state of harmony characterized by lack of violent conflict and freedom from fear of violence
Q1568	Indo-Aryan language spoken chiefly in North India
Q7923975	Wikimedia category
Q17197559	form of murder, homicide
Q6834520	Wikimedia category
Q4806809	study of Asia and Asian history, cultures, languages, etc.
Q11033	media technologies that are intended to reach a large audience by mass communication
Q7802	food made of flour and water
Q103940464	entity that persists, endures, or continues to exist through time while maintaining its identity
Q28845870	component of the biological system
Q15265344	organization responsible for production and transmission of radio and television programs
Q304358	clade of insects
Q248713	American cable television channel
Q98111756	person who transcribes a musical work into musical notation
Q1522168	economic activity
Q8745152	Wikimedia category
Q16334295	any set of human beings
Q634988	infraorder of insects
Q4994431	techniques for determining blood pressure
Q334600	act of rehearsing a behavior repeatedly; sessions scheduled for the purpose of rehearsing and performance improvement
Q1414816	something that motivates an individual to perform an action
Q57650068	food and dietary formulations such as synthetic diets, weight-reduction formulas, and tube-feeding diets
Q738621	telephone with a telephone wire; phone that uses a metal wire or fibre optic telephone line for transmission as distinguished from a mobile cellular line, which uses radio waves for transmission
Q30461	leader of a country or part of a country, usually in republics
Q37211094	scientific article published on 23 April 2009
Q962420	device used to operate electric lights, permanently connected equipment, or electrical outlets
Q34941079	scientific article
Q16515105	a specific problem or obstacle impeding achievement of a goal
Q2650984	town in Alberta, Canada
Q108	first month in the Julian and Gregorian calendars
Q912009	degree to which a system's components may be separated and recombined
Q5151	irregular unit of time dividing a calendar year
Q691994	supreme court of China
Q20820424	list of the cast and crew of a particular motion picture, television program, or video game at its beginning or end
Q13583042	Wikimedia portal
Q6999	physical body of astronomically-significant size, mass, or role, naturally occurring in a universe
Q570116	place of interest where tourists visit
Q10451593	American actor
Q220551	human disease, a condition characterized by large amounts of dilute urine and increased thirst
Q1338827	Brazilian pianist and composer (1969-)
Q1572088	diatomic inorganic compound with the formula HX where X is one of the halogens: fluorine, chlorine, bromine, iodine, or astatine
Q1241163	art gallery in Dulwich, South London
Q10971235	soft bag of some ornamental material, stuffed with wool, hair, feathers, polyester staple fiber, non-woven material, or even paper torn into fragments
Q373021	personnel operating an aircraft in flight, including pilots, systems operators, and attendants
Q9470178	Wikimedia category
Q6640255	Wikimedia list article
Q6666023	locomotor activity
Q1218344	Wikimedia disambiguation page
Q34577	illegal hunting and capturing of wild animals
Q410352	anticonvulsant medication for seizures and pain
Q796635	fabric household goods intended for daily use
Q2046591	Wikimedia disambiguation page
Q774228	set of criteria to which a particular design, product or process must conform
Q22905914	archive center of the University of Pittsburgh
Q126695	logical quantification stating that a statement holds for all objects
Q916	sovereign state in Africa
Q11302322	history of the US state of Connecticut
Q699893	State of Cao Wei prince (died 223)
Q123885	English learned society for science
Q19595701	part of the tertiary sector of the economy and includes a large number of sub-industries devoted to entertainment
Q189533	college or university diploma
Q1495452	broad category of fields within the service industry
Q2398452	anthem of the city of Moscow since 1995
Q1307276	free-standing residential building
Q5497887	Wikimedia subject-area collaboration
Q577407	1968 comedy film directed by Blake Edwards
Q2291476	Wikimedia disambiguation page
Q9682	Queen of the United Kingdom and 14 other Commonwealth realms (born 1926)
Q7115928	Wikimedia category
Q133105	weight bearing and locomotive anatomical structure, usually having a columnar shape, function as "extensible struts"
Q8897980	Wikimedia category
Q356139	profession
Q6156494	Wikimedia category
Q708	chemical element with symbol Pb and atomic number 82
Q5113858	Wikimedia category
Q41500	organ of a higher plant that anchors the rest of the plant in the ground, absorbs water and mineral salts from the soil, and does not bear leaves or buds
Q24405720	protein-coding gene in the species Rattus norvegicus
Q8087	branch of mathematics regarding geometric figures and properties of space
Q517596	device designed to transform input forces and movement into a desired set of output forces and movement
Q641118	psychological characteristics of an individual
Q207137	educational plan
Q10818	attacks on the London public transport system on 7 July 2005
Q2153464	covers the systems of production of articles of bovine, type of animal breeding
Q1392620	Wikimedia list article
Q2480745	(of mechanical system) number of independent parameters that define its configuration; number of parameters that determine the state of a physical system and is important to the analysis of systems of bodies
Q1952033	museum and art school in Philadelphia, Pennsylvania
